OBJECTID,the_geom,Fac_Type,Field_Office,State_Name,County,City,Fac_Name,Fac_Use,Elevation,Sectional_,Fuel_Types,Atc_Tower,Unicom,Ctaf,Landing_Fee,Wind_Indic
13619,POINT (-97.07592222163646 36.114933332715324),HELIPORT,AOK,OKLAHOMA,PAYNE,STILLWATER,STILLWATER MEDICAL CENTER,PR,984,WICHITA,,N,,,N,Y
13620,POINT (-97.09073055563307 36.19338055590378),AIRPORT,AOK,OKLAHOMA,PAYNE,STILLWATER,HILLTOP,PR,1070,WICHITA,,N,,,,
13621,POINT (-96.94319444418517 36.14155555570723),AIRPORT,AOK,OKLAHOMA,PAYNE,STILLWATER,MULBERRY HILL,PR,1026,KANSAS CITY,,N,,,,Y
13622,POINT (-94.64358055558598 35.80967499986975),HELIPORT,AOK,OKLAHOMA,ADAIR,STILWELL,STILWELL MEMORIAL HOSPITAL,PR,1100,MEMPHIS,,N,,,,
13623,POINT (-94.64985694433894 35.75718472207319),AIRPORT,NONE,OKLAHOMA,ADAIR,STILWELL,PAINTING PLANES,PU,1084,MEMPHIS,,N,,122.9,,
13624,POINT (-96.9275000003142 34.7783333327761),AIRPORT,AOK,OKLAHOMA,PONTOTOC,STRATFORD,DIAMOND C RANCH,PR,1140,DALLAS-FT WORTH,,N,,,,Y
13625,POINT (-96.90833333340981 34.79249999996621),AIRPORT,NONE,OKLAHOMA,PONTOTOC,STRATFORD,PRAIRIE RIDGE,PR,1154,DALLAS-FT WORTH,,N,,,,
13626,POINT (-96.65566666740582 35.78958333264704),AIRPORT,AOK,OKLAHOMA,LINCOLN,STROUD,STROUD MUNI,PU,900.70001221,DALLAS-FT WORTH,100LLA,N,,122.9,N,Y
13627,POINT (-96.68376388899486 35.748472221735376),HELIPORT,AOK,OKLAHOMA,LINCOLN,STROUD,STROUD HOSPITAL,PR,900,DALLAS-FT WORTH,,N,,,,Y
13628,POINT (-96.99018749960359 34.52704444388292),AIRPORT,AOK,OKLAHOMA,MURRAY,SULPHUR,SULPHUR MUNI,PU,1071,DALLAS-FT WORTH,,N,,122.9,N,Y
13629,POINT (-96.75894444399347 34.40360833272806),HELIPORT,AOK,OKLAHOMA,JOHNSTON,SULPHUR,GRAY RANCH COMPANY,PR,1100,DALLAS-FT WORTH,,N,,,,
13630,POINT (-95.68655277790427 36.5785666670382),AIRPORT,AOK,OKLAHOMA,ROGERS,TALALA,LARIAT RANCH,PR,684,KANSAS CITY,,N,,,,
13631,POINT (-95.00452777797868 35.93027777786144),AIRPORT,AOK,OKLAHOMA,CHEROKEE,TAHLEQUAH,TAHLEQUAH MUNI,PU,874.09997559,DALLAS-FT WORTH,100LLA,N,122.8,122.8,N,Y
13632,POINT (-95.00301361097343 36.001481110653984),AIRPORT,AOK,OKLAHOMA,CHEROKEE,TAHLEQUAH,JOHN REID,PR,831,MEMPHIS,,N,,,N,Y
13633,POINT (-95.07378583283555 34.707771389106874),AIRPORT,AOK,OKLAHOMA,LATIMER,TALIHINA,TALIHINA MUNI,PU,687,DALLAS-FT WORTH,,N,,122.9,N,Y
13634,POINT (-95.08358888881634 34.7567027780692),HELIPORT,AOK,OKLAHOMA,LATIMER,TALIHINA,CHOCTAW INDIAN HOSPITAL,PR,890,DALLAS-FT WORTH,,N,,,,Y
13635,POINT (-96.88168611126696 35.272294443786265),AIRPORT,AOK,OKLAHOMA,POTTAWATOMIE,TECUMSEH,JONES AIR PARK,PR,1100,DALLAS-FT WORTH,,N,,,,
13636,POINT (-98.24115583324975 34.25675666736316),AIRPORT,AOK,OKLAHOMA,COTTON,TEMPLE,TEMPLE AIRPORT INC,PR,1005,DALLAS-FT WORTH,,N,,,N,Y
13637,POINT (-101.81366666730067 36.50561111114625),AIRPORT,AOK,OKLAHOMA,TEXAS,TEXHOMA,TEXHOMA MUNICIPAL,PU,3462,WICHITA,100LL,N,,122.9,N,Y
13638,POINT (-97.13145833266196 33.77854166665757),AIRPORT,AOK,OKLAHOMA,LOVE,THACKERVILLE,WHITTINGTON RANCH,PR,845,DALLAS-FT WORTH,,N,,,,
13639,POINT (-98.73052777801696 35.73366666707451),AIRPORT,AOK,OKLAHOMA,CUSTER,THOMAS,THOMAS MUNI,PU,1732.5,DALLAS-FT WORTH,100LL,N,,122.9,N,Y
